original_sponsor,clustered_sponsor
Orange Blossom Special,Orange Blossom Special
Grand Hotel Haglund,Grand Hotel Haglund
Hotel Pennsylvania,Hotel Pennsylvania
Hotel Majestic,Hotel Majestic
Heliopolis Palace Hotel,Heliopolis Palace Hotel
Bankers Club,Bankers Club
Minnesota Union,Minnesota Union
University Of Michigan,University Of Michigan
The New Willard Hotel,The New Willard Hotel
The Brooklyn Club,The Brooklyn Club
Mohican Hotel,Mohican Hotel
Deagons' Den,Deagons Den
Ebling's Casino,Eblings Casino
The Guaranty Club,The Guaranty Club
Crescent Athletic Club,Crescent Athletic Club
Pschorrbr?u-Bierhallen,Pschorrbru-bierhallen
Washington,Washington
S. S. Zacapa,S. S. Zacapa
SAVOY HOTEL,Hotel Savoy
ROANOKE HOTEL,Hotel Roanoke
B&O BLUE LINE,B&o Blue Line
NIPPON YUSEN KAISHA - S.S. NASUGA,Nippon Yusen Kaisha - S.S. Nasuga
MASONIC SOCIETY,Masonic Society
ORIENTAL HOTEL,Oriental Hotel
EDWARD F. LANG'S LADIES' AND GENT'S LUNCH ROOM AND RESTAURANT;,Edward F. Langs Ladies And Gents Lunch Room And Restaurant
QUELLENHOF,Quellenhof
FIFTH AVENUE HOTEL,Fifth Avenue Hotel
TOYO KISEN KAISHA - HING KONG MARU,Toyo Kisen Kaisha - Hing Kong Maru
UNION SQUARE HOTEL,Union Square Hotel
A.U.S.V.,A.U.S.V.
HOTEL METROPOLE,Hotel Metropole
RED STAR LINE -ANTWERPEN -NY,Red Star Line - Antwerpen - Ny
STONINGTON LINE,Stonington Line
H.A.H.,H.A.H.
STEWARDS' ASSOCIATION OF N.Y.,Stewards Association Of N.Y.
EQUITABLE LIFE ASSURANCE SOCIETY,Equitable Life Assurance Society
EDWARD VII,Edward Vii
O. L. CUSHMAN & CO.,O. L. Cushman & Co.
MEMBERS OF THE INTERNATIONAL UNION OF TRAMWAYS,Members Of The International Union Of Tramways
CORNELL UNIVERSITY ALUMNI,Cornell University Alumni
FELLOW MEMBERS OF THE GEOGRAPHICAL SOCIETY OF THE HAMILTON CLUB,Fellow Members Of The Geographical Society Of The Hamilton Club
PROVINZIAL-QUARTETTS,Provinzial-quartetts
U.S.FLAGSHIP NEW YORK,U.S.Flagship New York
THE CONTINENTAL,The Continental
RIDGEFIELD HOSE CO. - NO.1,Ridgefield Hose Co. - No.1
HORACE G. POLHEMUS (TREAS),Horace G. Polhemus Treas
AMERICAN RAILWAY GUILD,American Railway Guild
THE PROFILE HOUSE,The Profile House
WINDSOR,Windsor
AMERICAN MEDICAL EDITORS ASSOCIATION,American Medical Editors Association
UNIVERSITY OF CHICAGO,University Of Chicago
WINE & SPIRIT TRADES' BENEVOLENT SOCIETY,Wine & Spirit Trades Benevolent Society
SIN LAZARE CLUB,Sin Lazare Club
(ROBERTS AND HOBSON OF THE AMERICAN EXCHANGE),Roberts And Hobson Of The American Exchange
DOWNTOWN CLUB,Downtown Club
AMERICAN EMBASSY - US MINISTER LLOYD C.GRISCOM,American Embassy - Us Minister Lloyd C.Griscom
PILGRIM HOTEL,Pilgrim Hotel
CHAMBER OF COMMERCE OF THE STATE OF NY,Chamber Of Commerce Of The State Of Ny
HIGH COMMISSIONERS OF HER BRITANNIC MAJESTY,High Commissioners Of Her Britannic Majesty
ISMALIA TEMPLE,Ismalia Temple
ALBANY SOCIETY OF NYC,Albany Society Of Nyc
PROVINCIAL ASSEMBLY OF HAVANA,Provincial Assembly Of Havana
CEDAR PARK DRIVING CLUB,Cedar Park Driving Club
RICHMOND BOROUGH FRIENDS OF NICHOLAS MULLER,Richmond Borough Friends Of Nicholas Muller
VETERABOS DE LA INDEPENDENCIA,Veterabos De La Independencia
PENNSYLVANIA-GERMAN SOCIETY,Pennsylvania-german Society
La Maison du Cygne,La Maison Du Cygne
Pronto Ristorante,Pronto Ristorante
La Terrazza,La Terrazza
The Plaza Hotel,The Hotel Plaza
Aureole,Aureole
Gasthaus Bogenhauser Hof,Gasthaus Bogenhauser Hof
Eden Roc,Eden Roc
Taverne Provence,Taverne Provence
Zum Dortmunder,Zum Dortmunder
Hotel del Coronado,Hotel Del Coronado
Restaurant des Artistes,Restaurant Des Artistes
B. F. Keith's Palace Theatre,B. F. Keiths Palace Theatre
Thomas Cook & Son Special,Thomas Cook & Son Special
Restaurant Ewige Lampe,Restaurant Ewige Lampe
Bruno Pen & Pencil,Bruno Pen & Pencil
Hotel Ludwid Der Bayer Ettal,Hotel Ludwid Der Bayer Ettal
The Black Angus,The Black Angus
Virginia House Restaurant,Virginia House Restaurant
Perkeo Heidelberg,Perkeo Heidelberg
China Regency,China Regency
Ratner's,Ratners
SchwarzwÃ¤lder's,Schwarzwaolders
The Hansen House,The Hansen House
Longley's Restaurant And Coffee House,Longleys Restaurant And Coffee House
The Drake Oak Brook Hotel   Columian Room,The Drake Oak Brook Hotel Columian Room
The Cornell Club,The Cornell Club
Outpost,Outpost
Watney House,Watney House
Grand Hotel Miramare,Grand Hotel Miramare
The Blue Spruce Inn,The Blue Spruce Inn
Hall Jardin,Hall Jardin
Olde Cheshire Cheese Chop House,Olde Cheshire Cheese Chop House
New Weston Hotel,Hotel New Weston
The Coffee Shop   La Guardia Field,The Coffee Shop La Guardia Field
Jackson Heights Club House,Jackson Heights Club House
Oddenino's,Oddeninos
Grand HÃ´tel Continental Milano,Grand Ha´tel Continental Milano
S.S. Malolo,S.S. Malolo
The HÃ´tel Beau Rivage,The Ha´tel Beau Rivage
The Hudson,The Hudson
Union Printers Home,Union Printers Home
Narcissus Fountain Tea Room,Narcissus Fountain Tea Room
Salmagundi Club,Salmagundi Club
S.S. Frederik VIII,S.S. Frederik Viii
CafÃ© L'Etoil,Cafac Letoil
The Adolphus,The Adolphus
Florence Villa,Florence Villa
Gibson's,Gibsons
Stadt-Keller,Stadt-keller
Hobby Club,Hobby Club
Hotel Walson,Hotel Walson
Saint Paul,Saint Paul
Ambrose Restaurant,Ambrose Restaurant
Kemm's CafÃ© and Restaurant,Kemms Cafac And Restaurant
Herman Loeffler's CafÃ© and Restaurant,Herman Loefflers Cafac And Restaurant
Hugot's Crystal Garden,Hugots Crystal Garden
Woolpack Hotel,Woolpack Hotel
EMPIRE HOTEL,Empire Hotel
UNION LEAGUE CLUB,Union League Club
PHILITSCIKOMA,Philitscikoma
SIXTH MASONIC DISTRICT,Sixth Masonic District
SOCIETY OF THE CINCINNATI IN THE STATE OF NEW JERSEY,Society Of The Cincinnati In The State Of New Jersey
WILLOW GROVE PARK CASINO,Willow Grove Park Casino
ROYAL ENGINEERS,Royal Engineers
HEADQUARTERS 47TH INFANTRY U.S. VOLUNTEERS,Headquarters 47th Infantry U.S. Volunteers
UNION COLLEGE,Union College
NIPPON YUSEN KAISHA -S.S.KINSHIN MARU,Nippon Yusen Kaisha - S.S.Kinshin Maru
TOYO KISEN KAISHA -HONG KONG MARU,Toyo Kisen Kaisha - Hong Kong Maru
CASSELS HOTEL & RESTAURANT,Cassels Hotel & Restaurant
NORDEUTSCHER LLOYD - BREMEN,Nordeutscher Lloyd - Bremen
RED STAR LINE - ANTWERPEN  - NY,Red Star Line - Antwerpen - Ny
RED STAR LINE - ANTWEPEN NY,Red Star Line - Antwepen Ny
U.S.M.S.PHILADELPHIA,U.S.M.S.Philadelphia
L.TIRELLI'S ASSOCIATION,L.Tirellis Association
CLEVELAND BANKS AND BANKERS,Cleveland Banks And Bankers
RED STER LINE - ANTWERPEN - NY,Red Ster Line - Antwerpen - Ny
HOLLAND-AMERICAN LINE,Holland-american Line
HOTEL PONCE DE LEON,Hotel Ponce De Leon
IDEAL DINING AND LUNCH ROOM,Ideal Dining And Lunch Room
YALE ALUMNI ASSOCIATION,Yale Alumni Association
MARGUERY,Marguery
CHILDS',Childs
HOTEL de l'EUROPE,Hotel De Leurope
FRAUNCES' TAVERN,Fraunces Tavern
FLORIDA POSTMASTERS ASSOCIATION,Florida Postmasters Association
EXECUTIVE COMMITTEE OF PHILADELPHIA LODGE NO. 2 B.P.O.E.,Executive Committee Of Philadelphia Lodge No. 2 B.P.O.E.
(FIFTH AVE. HOTEL),Fifth Ave. Hotel
CAMP WOPOWOG,Camp Wopowog
THE RENSSELAER COUNTY SOCIETY IN THE CITY OF NEW YORK,The Rensselaer County Society In The City Of New York
AMERICAN ASSOCIATION FOR THE ADVANCEMENT OF OSTEOPATHY,American Association For The Advancement Of Osteopathy
THETA DELTA CHI FRATERNITY,Theta Delta Chi Fraternity
BANKERS CLUB OF CHICAGO,Bankers Club Of Chicago
MINNEAPOLIS TRIBUNE,Minneapolis Tribune
ANCIENT & HONORABLE ARTILLERY COMPANY OF MASSACHUSETTS,Ancient & Honorable Artillery Company Of Massachusetts
NASHVILLE CHAMBER OF COMMERCE,Nashville Chamber Of Commerce
HOTEL CLAREMONT,Hotel Claremont
ROCKING STONE RESTAURANT,Rocking Stone Restaurant
PRINCESS ANNE HOTEL,Princess Anne Hotel
DEUTSCHES BUNDESSCHIELLEN MAINZ,Deutsches Bundesschiellen Mainz
GRAND JURY SEPTEMBER TERM,Grand Jury September Term
SEATTLE CHAMBER OF COMMERCE,Seattle Chamber Of Commerce
SONS OF THE REVOLUTION IN THE STATE OF NEW YORK,Sons Of The Revolution In The State Of New York
MICHIGAN SOCIETY OF NEW YORK,Michigan Society Of New York
THE STUYVESANT HEIGHTS REPUBLICAN CLUB,The Stuyvesant Heights Republican Club
ASSOCIATED WHOLESALE GROCERS OF ST. LOUIS,Associated Wholesale Grocers Of St. Louis
QUID NUNC CLUB,Quid Nunc Club
DRY-GOODS FRIENDS OF MR.WILLIAM F. KING,Dry-goods Friends Of Mr.William F. King
TRUSTEES OF THE MISSOUI BOTANICAL GARDEN,Trustees Of The Missoui Botanical Garden
WALTON'S OLD HOMESTEAD OYSTER AND CHOP HOUSE,Waltons Old Homestead Oyster And Chop House
LURAY HOTEL,Luray Hotel
THE BRUNSWICK,The Brunswick
MALE PRINCIPALS AND LOCAL SCHOOL BOARDS OF THE BOROUGH OF THE BRONX,Male Principals And Local School Boards Of The Borough Of The Bronx
HILLSBOROUGH COUNTY MEDICAL ASSOCIATION,Hillsborough County Medical Association
CITIZENS OF NEW YORK,Citizens Of New York
NATIONAL WHOLESALE DRUGGESTS' ASSOCIATION,National Wholesale Druggests Association
COLLEGE OF CITY OF NEW YORK,College Of City Of New York
UNNAMED HOTEL,Unnamed Hotel
JACKSON DEMOCRATIC CLUB,Jackson Democratic Club
American Airlines,American Airlines
Huguenin,Huguenin
Restaurant Egoisten,Restaurant Egoisten
Grand Hotel Baglioni,Grand Hotel Baglioni
Hoteles Balsa,Hoteles Balsa
Gutsschanke Neuhof,Gutsschanke Neuhof
Villa Taverna Club,Villa Taverna Club
Hotel Eisenhut,Hotel Eisenhut
Kinder-Speisekarte,Kinder-speisekarte
Hotel Weinhaus,Hotel Weinhaus
Shun Lee West,Shun Lee West
Patrizier,Patrizier
Hotel du Palais,Hotel Du Palais
Hotel Bel-Air,Hotel Bel-air
Sprungli,Sprungli
Camelback Inn,Camelback Inn
Pennsylvania Railroad,Pennsylvania Railroad
Atlantic Coast Line R. R. Co.,Atlantic Coast Line R. R. Co.
American Chemical Society,American Chemical Society
26th Anniversary Of New Haven Lodge No. 25; B.P.O.C.,26th Anniversary Of New Haven Lodge No. 25; B.P.O.C.
Commander's Palace,Commanders Palace
Buffalo Country Club,Buffalo Country Club
'T/S \Santa Maria\''''',Ts Santa Maria
Flounder Inn,Flounder Inn
Hee Seung Fung Restaurant,Hee Seung Fung Restaurant
Mc Garvey's,Mc Garveys
Crawdaddy,Crawdaddy
Alsterpavillon,Alsterpavillon
Waldorf Astoria,Waldorf Astoria
Der Monat,Der Monat
Swiss Pavilion Restaurant,Swiss Pavilion Restaurant
Marrocco's,Marroccos
La Caravelle,La Caravelle
Colony,Colony
Chart House,Chart House
Bright Angel Lodge,Bright Angel Lodge
The Belvedere Room Of The Hotel Astor,The Belvedere Room Of The Hotel Astor
Savarin Commuters Bar,Savarin Commuters Bar
Tripler General Hospital,Tripler General Hospital
Fairmont Hotel,Fairmont Hotel
Tiny's,Tinys
Tortola,Tortola
Hotel Chelsea,Hotel Chelsea
The Friar's Club,The Friars Club
Hotel Bossert,Hotel Bossert
California Mission Inn,California Mission Inn
CafÃ© des Beaux Arts,Cafac Des Beaux Arts
Restaurant and Lunch Room M. Patzold,Restaurant And Lunch Room M. Patzold
Thomases Bakery and Lunch Room,Thomases Bakery And Lunch Room
National Park Inn,National Park Inn
The Cortlandt,The Cortlandt
Navy Yard,Navy Yard
Guilford Point House,Guilford Point House
Smith & Post's Restaurant,Smith & Posts Restaurant
German Liederkranz,German Liederkranz
Hotel Earlington,Hotel Earlington
HOTEL NETHERLAND,Hotel Netherland
BATTERY PARK HOTEL,Battery Park Hotel
HOTEL MARIE ANTOINETTE,Hotel Marie Antoinette
PENNSYLVANIA RR,Pennsylvania Rr
FRAULEIN EMMA HACKMACK & HERRN PAUL MOEHLKE,Fraulein Emma Hackmack & Herrn Paul Moehlke
(RED STAR LINE),Red Star Line
BALTIMORE HOTEL,Hotel Baltimore
KENTUCKY CLUB OF CHICAGO,Kentucky Club Of Chicago
CANADIAN PACIFIC RAILWAY CO.- S.S.ATHABASCA,Canadian Pacific Railway Co. - S.S.Athabasca
ALFRED MARSHAL,Alfred Marshal
SANTA FE' ROUTE,Santa Fe Route
THE THORNDIKE HOTEL,The Thorndike Hotel
NEW YORK CREDIT MEN'S ASSOCIATION,New York Credit Mens Association
B.C.T.,B.C.T.
COMPAGNIE GENERAL TRANSATLANTIQUE,Compagnie General Transatlantique
CIE GLE TRANSATLANTIQUE,Cie Gle Transatlantique
RED STAR LINE ANTWERPEN-NEW YORK,Red Star Line Antwerpen-new York
ALICE ROOSEVELT LONGWORTH  AND PRESIDENT ESTRADA PALMET,Alice Roosevelt Longworth And President Estrada Palmet
(MAHARAJA OF BARODA),Maharaja Of Baroda
AMERICAN SPOOL COTTON MANUFACTURERS' ASSOCIATION,American Spool Cotton Manufacturers Association
NEW YORK PUBLIC LECTURE CORPS,New York Public Lecture Corps
CITY COUNCIL,City Council
ADOLPHE GRAND-DUC DE LUXEMBOURG,Adolphe Grand-duc De Luxembourg
METROPOLITON CLUB,Metropoliton Club
FIDELIO CLUB,Fidelio Club
NEW ENGLAND SOCIETY IN BROOKLYN,New England Society In Brooklyn
HOTEL ST.REGIS,Hotel St.Regis
WESTCHESTER HUNTING CLUB,Westchester Hunting Club
AU LION D'OR HOTEL AND RESTAURANT;,Au Lion Dor Hotel And Restaurant;
SANTA GIERTRUDZ GILLE-SCHWA,Santa Giertrudz Gille-schwa
HOLZWARTH HOTEL CONTINENTAL,Holzwarth Hotel Continental
NEW HAVEN COMMERCIAL TRAVELERS' ASSOCIATION,New Haven Commercial Travelers Association
FOOD AND COOKERY (MAGAZINE),Food And Cookery Magazine
NEW YORK CENTRAL,New York Central
THE OHIO SOCIETY OF PHILADELPHIA,The Ohio Society Of Philadelphia
CORTLAND COUNTY SOCIETY OF NEW YORK,Cortland County Society Of New York
GRAND HOTEL KAISERHOF,Grand Hotel Kaiserhof
MUNICIPAL GRANT MONUMENT COMMITTEE,Municipal Grant Monument Committee
COM. OF MEXICO - RAILROAD TARIFF,Com. Of Mexico - Railroad Tariff
HARVARD UNIVERSITY,Harvard University
PIONEER RESTAURANT,Pioneer Restaurant
CASINE ESPANOL FOR THE BRITISH AND SPANISH COLONIES,Casine Espanol For The British And Spanish Colonies
RESTAURANT DU PASSAGE,Restaurant Du Passage
HAMPTON ROADS YACHT CLUB,Hampton Roads Yacht Club
EMPIRE STATE SOCIETY OF SONS OF THE AMERICAN REVOLUTION,Empire State Society Of Sons Of The American Revolution
BERMUDA CATERING COY.,Bermuda Catering Coy.
CAMP FIRECLUB,Camp Fireclub
JOHN W. HAMER,John W. Hamer
American Export Lines,American Export Lines
Bistrot du Sommelier,Bistrot Du Sommelier
Chiberta,Chiberta
Agora,Agora
Mezzogiorno,Mezzogiorno
Le Regence,Le Regence
Onkel Hugo,Onkel Hugo
Restaurant Konighof,Restaurant Konighof
Fisherman's Grotto,Fishermans Grotto
THE KINDERGARTEN CLUB OF THE UNION LEAGUE,The Kindergarten Club Of The Union League
'Waldorf Astoria Hotel (New York,Waldorf Astoria Hotel New York
The Colonial Inn,The Colonial Inn
Restaurant Hotel Reichshof Hamburg,Restaurant Hotel Reichshof Hamburg
La Tour D'auvergne,La Tour Dauvergne
S.S. Nieuw Amsterdam,S.S. Nieuw Amsterdam
Bum GpÃ¶ctmeier,Bum GpaJctmeier
Old Lyme Inn,Old Lyme Inn
Hotel Northampton,Hotel Northampton
Lakos,Lakos
Carnegie Delicatessen And Restaurant,Carnegie Delicatessen And Restaurant
Wivex,Wivex
Eden Hotel Wolff,Eden Hotel Wolff
An American Place,An American Place
Howard Johnson's,Howard Johnsons
76 House,76 House
Overseas Press Club Of America,Overseas Press Club Of America
Williamsburg Lodge,Williamsburg Lodge
Hotel Mas De Vence,Hotel Mas De Vence
The Biltmore Terrace,The Biltmore Terrace
Hotel Northampton & Wiggins Old Tavern,Hotel Northampton & Wiggins Old Tavern
El Tovar Hotel,El Tovar Hotel
Grand Hotel National Lucerne,Grand Hotel National Lucerne
San Carlos Coffee Shop,San Carlos Coffee Shop
Oyster Bay Restaurant,Oyster Bay Restaurant
St. Regis Hotel Roof Garden,St. Regis Hotel Roof Garden
Wally J,Wally J
Faculty Club,Faculty Club
Hotel Metropole,Hotel Metropole
Ye Old Canoe Place Inn,Ye Old Canoe Place Inn
The Mainliner Diner,The Mainliner Diner
The Lotos Club,The Lotos Club
'T.N. ''Conte Di Savoia''''''',T.N. Conte Di Savoia
'R.M.S. ''Carinthia''''''',R.M.S. Carinthia
Independence Hall,Independence Hall
Joe's Restaurant,Joes Restaurant
University Of Illinois,University Of Illinois
U. S. S. Florida,U. S. S. Florida
Mendel,Mendel
Pennsylvania Lines,Pennsylvania Lines
Hotel St. Francis,Hotel St. Francis
Jacob Reiss,Jacob Reiss
Pabst,Pabst
Hotel Vendig,Hotel Vendig
West End Shore Club,West End Shore Club
Steamer Berksire,Steamer Berksire
Holland House,Holland House
Waldorf-Astoria: Grand Ball Room,Waldorf-astoria: Grand Ball Room
Dean House and Cottages,Dean House And Cottages
Club House - St. Marks Square,Club House - St. Marks Square
ALPHA OF ZETA PSI,Alpha Of Zeta Psi
GERMAN RESTAURANT & BUFFET,German Restaurant & Buffet
MILLS HOTEL,Mills Hotel
GRUNEWALD HOTEL,Grunewald Hotel
QUEBEC STEAMSHIP COMPANY,Quebec Steamship Company
CUNARD STEAMSHIP COMPANY LTD.,Cunard Steamship Company Ltd.
CITY HALL CELLAR,City Hall Cellar
BRYAN RATIFICATION COMMITTEE OF TAMMANY HALL,Bryan Ratification Committee Of Tammany Hall
HOTEL WESTMINSTER,Hotel Westminster
ALAMO HOTEL(?),Alamo Hotel
BOSTON & BANGOR STEAMSHIP COMPANY,Boston & Bangor Steamship Company
SUIZO HOTEL,Suizo Hotel
NATIONAL COOPERS ASSOCIATION,National Coopers Association
UNITED STATES WEATHER BUREAU OFFICIALS,United States Weather Bureau Officials
OHIO STATE HOTEL ASSOCIATION,Ohio State Hotel Association
UNIVERSITY OF MARYLAND,University Of Maryland
KNICKERBOCKER COTTAGE,Knickerbocker Cottage
BOOKSELLER'S LEAGUE MEMBERS,Booksellers League Members
MERCHANTS' ASSOCIATION OF SAN FRANCISCO,Merchants Association Of San Francisco
MARSHAL OLIVEIRA OF THE BRAZILIAN COMMISSION,Marshal Oliveira Of The Brazilian Commission
CHILDS RESTAURANT,Childs Restaurant
STANWIX HALL,Stanwix Hall
CONGRESS HOTEL COMPANY,Congress Hotel Company
SOCIETY OF THE ARMY & NAVY OF THE CONFEDERATE STATES,Society Of The Army & Navy Of The Confederate States
BILLIARD POOL AND BOWLING TOURNAMENT,Billiard Pool And Bowling Tournament
BETA THETA PI,Beta Theta Pi
GHENT CLUB,Ghent Club
THE WALDORF,The Waldorf
HARVARD CLUB OF MARYLAND,Harvard Club Of Maryland
PROHIBITIONISTS OF THE CITY AND COUNTY OF NEW YORK,Prohibitionists Of The City And County Of New York
CIRCULO COLON-CERVANTES,Circulo Colon-cervantes
SPOTTED PIG,Spotted Pig
COMRADES OF THE ARMY OF THE POTOMAC,Comrades Of The Army Of The Potomac
HARVARD NINETY SEVEN,Harvard Ninety Seven
THE ASSOCIATED PIONEERS OF THE TERRITORIAL DAYS OF CALIFORNIA,Associated Pioneers Of The Territorial Days Of California
THE GRAND,The Grand
NATIONAL ARTS CLUB MEMBERS,National Arts Club Members
NEW YORKERS CLUB,New Yorkers Club
S.S.AMSTERDAM,S.S.Amsterdam
GRAND HOTEL DE MADRID,Grand Hotel De Madrid
PARK RESTAURANT,Park Restaurant
ANCINT AND HONORABLE ARTILLERY COMPANY OF MASSACHUSETTS,Ancint And Honorable Artillery Company Of Massachusetts
CIE CIE TRANSATLANTIQUE,Cie Cie Transatlantique
AMERICAN BANKERS ASSOCIATION,American Bankers Association
(SONS OF AMERICAN REVOLUTION),Sons Of American Revolution
SONS OF THE REVOLUTION WEST VIRGINIA SOCIETY,Sons Of The Revolution West Virginia Society
KEYSTONE  CONSISTORY,Keystone Consistory
U.S.FLAGSHIP KEARSARGE,U.S.Flagship Kearsarge
HOTEL KENMORE,Hotel Kenmore
Toula',Toula
Akbar,Akbar
Don the Beachcomber,Don The Beachcomber
Hotel-Restaurant du Mont-Blanc,Hotel-restaurant Du Mont-blanc
Oscar's Salt of the Sea,Oscars Salt Of The Sea
The Westbury,The Westbury
La Gastronomie Francaise,La Gastronomie Francaise
New York Athletic Club,New York Athletic Club
Blackstone,Blackstone
Matya's Pince,Matyas Pince
Hotel Savoy,Hotel Savoy
Luchow's Restaurant,Luchows Restaurant
Ambassador Hotel,Ambassador Hotel
Lord Simcoe Hotel,Lord Simcoe Hotel
Top Of The Fair,Top Of The Fair
Bright Angel,Bright Angel
The Lion's Den,The Lions Den
The Habana Hilton,The Habana Hilton
The Meadows,The Meadows
Leone's,Leones
Ratskeller Darmftadt,Ratskeller Darmftadt
S.S. Independence,S.S. Independence
Budapest Restaurant,Budapest Restaurant
Ruben's Deli,Rubens Deli
Peggy's,Peggys
Dinkler Plaza Hotel,Dinkler Plaza Hotel
Essex House,Essex House
The Baron Steuben,The Baron Steuben
OperakÃ¤llaren,Operakaollaren
Host Restaurant,Host Restaurant
Monte Carlo Hotel,Monte Carlo Hotel
The Sheraton Plaza Hotel,The Sheraton Plaza Hotel
Terrace Dining Room,Terrace Dining Room
Anchor Sea Food House,Anchor Sea Food House
Empire Tea Room,Empire Tea Room
Cogen House,Cogen House
Union Club,Union Club
The Ahwahnee,The Ahwahnee
Curly's Theater CafÃ©,Curlys Theater Cafac
Dayton's Sky Room,Daytons Sky Room
Sheraton Hotel,Sheraton Hotel
[Southern Pacific Railroad Company],southern Pacific Railroad Company
Palm Garden,Palm Garden
Italian Line Restaurant,Italian Line Restaurant
United Air Lines,United Air Lines
Archons Of Colophon,Archons Of Colophon
The Australia Hotel,The Australia Hotel
Australia Hotel,Australia Hotel
Union Hill Elks Club,Union Hill Elks Club
Young Man's Christian Association,Young Mans Christian Association
The Wedgewood Room,The Wedgewood Room
Hotel LaSalle,Hotel Lasalle
Hotel Belvedere,Hotel Belvedere
Horn & Hardart Company Dining Rooms,Horn & Hardart Company Dining Rooms
A.H. Meyer Rathskeller,A.H. Meyer Rathskeller
Whites,Whites
Copley-Plaza Hotel,Copley-plaza Hotel
Cosmopolitan Hotel,Cosmopolitan Hotel
JOHN WANAMAKER,John Wanamaker
TOYO KISEN KAISHA,Toyo Kisen Kaisha
SULLIVAN'S RESTAURANT,Sullivans Restaurant
LAMBS' CLUB SPECIAL,Lambs Club Special
HOTEL CHAMPLAIN,Hotel Champlain
BROWN PALACE HOTEL,Brown Palace Hotel
HAMILTON CLUB OF CHICAGO,Hamilton Club Of Chicago
NIPPON YUSEN KAISHA - S.S.KOBE MARU,Nippon Yusen Kaisha - S.S.Kobe Maru
GEO.T.TRIMBLE & ALUMNI ASSOCIATION OF OLD PUBLIC SCHOOL #7,Geo.T.Trimble & Alumni Association Of Old Public School #7
INTERNATIONAL HOTEL,International Hotel
GREAT NORTHERN SYSTEM - DINING CARS,Great Northern System - Dining Cars
HAMBURG-AMERIKA - EXPRESS STEAMER FURST BISMARCK,Hamburg-amerika - Express Steamer Furst Bismarck
CHATEAU FRONTENAC HOTEL,Chateau Frontenac Hotel
BAR OF THE SOUTHERN DISTRICT OF WEST VIRGINIA,Bar Of The Southern District Of West Virginia
BERG EN DAL HOTEL,Berg En Dal Hotel
THE ANSONIA,The Ansonia
BURGUNDY HOTEL,Burgundy Hotel
SWEDISH LEGATION,Swedish Legation
ST. DAVID'S BENEVOLENT SOCIETY OF THE CITIES OF NEW YORK & BROOKLYN,St. Davids Benevolent Society Of The Cities Of New York & Brooklyn
WYOMING VALLEY HOTEL,Wyoming Valley Hotel
HIS OREGON FRIENDS,His Oregon Friends
SWEDISH SOCIETY,Swedish Society
U.S.NATIONAL LAWN TENNIS ASSOCIATION,U.S.National Lawn Tennis Association
MARINE SOCIETY OF NY,Marine Society Of Ny
THE AUTOMOBILE CLUB OF SYRACUSE,The Automobile Club Of Syracuse
GRANT BIRTHDAY ASSOCIATION,Grant Birthday Association
CUMBERLAND STREET AND BROOKLYN HOMEOPATHIC HOSPITALS,Cumberland Street And Brooklyn Homeopathic Hospitals
CONFERENCES FOR EDUCATION IN THE SOUTH,Conferences For Education In The South
HOTEL YORK,Hotel York
MR.T.N.JARVIS,Mr.T.N.Jarvis
RAILWAYS OF CHICAGO,Railways Of Chicago
FIRST PANEL SHERIFF'S JURY,First Panel Sheriffs Jury
NEW GLADSTONE (HOTEL),New Gladstone Hotel
THE PHILADELPHIA ALUMNI CHAPTER BNRA ONRALLI,The Philadelphia Alumni Chapter Bnra Onralli
NY FRIENDS OF HON. CHRISTOPHER A. BUCKLEY,Ny Friends Of Hon. Christopher A. Buckley
CITY VIGILANCE LEAGUE,City Vigilance League
EASTERN HOTEL,Eastern Hotel
BROOKLYN TABERNACLE SUNDAY SCHOOL ASSOCIATION,Brooklyn Tabernacle Sunday School Association
SECOND DISTRICT DENTAL SOCIETY AND PROFESSIONAL FRIENDS,Second District Dental Society And Professional Friends
BASS ROCK HOTEL,Bass Rock Hotel
PRIVATE PARTY(?),Private Party
COMMITTEE ON THE CENTENNIAL CELEBRATION OF INAUG OF WASHINGTON,Committee On The Centennial Celebration Of Inaug Of Washington
HOTEL DE BELLEVUE,Hotel De Bellevue
NEW HAMPSHIRE CLUB LADIES' NIGHT,New Hampshire Club Ladies Night
THE PICKANINNY CLUB,The Pickaninny Club
GERARD HOTEL,Gerard Hotel
THE SHIP'S COMPANY OF H.M.S. GOOD HOPE,The Ships Company Of H.M.S. Good Hope
NEW PALESTINE COMMANDERY 11918,New Palestine Commandery 11918
BOOTH DRAMATIC SOCIETY,Booth Dramatic Society
REPUBLICAN DISTRICT COMMITTEE OF THE 29TH ASSEMBLY DISTRICT,Republican District Committee Of The 29th Assembly District
FRIENDS OF MR. JAMES L. KERNAN,Friends Of Mr. James L. Kernan
THE BUSINESS MEN'S LEAGUE OF SAINT LOUIS,The Business Mens League Of Saint Louis
FRED HARVEY,Fred Harvey
DAMASRUS COMMANDERN NO.58,Damasrus Commandern No.58
HONOURABLE ARTILLERY COMPANY OF LONDON,Honourable Artillery Company Of London
MICHIGAN SOCIETY OF THE SONS OF THE AMERICAN REVOLUTION,Michigan Society Of The Sons Of The American Revolution
BANKERS OF DALLAS,Bankers Of Dallas
UNIVERSITY OF EDINBURGH,University Of Edinburgh
